StartDate,EndDate,Status,Progress,Duration,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,Gender,Age,Ethnicity,Sexuality,Victim_known,False_acc_known,Verdict,Likert_verdict,Confidence,Sentence,Credibility,Responsibility,Empathy,SA1,SA2,SA3,SA4,SA5,SA6,MT1,MT2,MT3,F1,MT4,MT5,MT6,NR1,NR2,NR3,NR4,NR5,F2,LI1,LI2,LI3,LI4,LI5,LI6
14/07/2020 08:02,14/07/2020 08:10,0,100,504,1,14/07/2020 08:10,R_2VdU7URcyAwHo9P,anonymous,EN,1,2,24,1,1,2,1,1,7,100,2,7,1,5,1,1,1,1,6,2,7,4,5,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1
14/07/2020 08:12,14/07/2020 08:21,0,100,550,1,14/07/2020 08:21,R_2WYUDKZUTGsGjSg,anonymous,EN,1,2,23,1,1,1,1,0,4,49,1,4,4,3,1,1,1,1,1,5,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1
14/07/2020 08:18,14/07/2020 08:29,0,100,643,1,14/07/2020 08:29,R_1HoEXrld4eGIFbr,anonymous,EN,1,1,25,1,3,2,0,1,7,100,3,7,1,5,1,1,1,1,1,2,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1
14/07/2020 08:14,14/07/2020 08:35,0,100,1249,1,14/07/2020 08:35,R_3qg7yRGpWTSJmXq,anonymous,EN,1,2,24,14,1,2,1,1,7,79,10,7,7,5,1,1,1,1,1,5,1,4,2,7,4,2,2,1,1,1,1,6,7,4,5,5,2,4,1
14/07/2020 08:45,14/07/2020 08:56,0,100,660,1,14/07/2020 08:56,R_1qaYEoWZfUSIW8M,anonymous,EN,1,2,22,1,1,2,1,1,7,75,5,7,4,5,1,1,1,1,1,4,3,2,2,7,4,1,1,1,1,1,1,2,7,2,2,1,1,2,1
14/07/2020 08:47,14/07/2020 09:06,0,100,1106,1,14/07/2020 09:06,R_2t4pEEJgVP2hofg,anonymous,EN,1,1,55,1,1,1,1,0,3,100,0,5,6,2,5,3,3,6,5,5,1,2,1,7,5,1,6,6,5,1,1,2,7,6,6,5,3,5,3
14/07/2020 09:50,14/07/2020 09:57,0,100,427,1,14/07/2020 09:57,R_3GDpgO48i3QhvTK,anonymous,EN,1,1,23,1,1,2,2,1,6,80,5,6,5,4,2,1,1,1,2,5,2,3,1,7,3,4,5,1,1,1,1,2,7,3,5,4,3,4,2
14/07/2020 10:19,14/07/2020 10:31,0,100,701,1,14/07/2020 10:31,R_1jDOVnr6UfCaZHB,anonymous,EN,1,2,26,1,1,2,2,1,2,92,7,6,2,5,1,1,1,1,2,1,2,2,1,7,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1
14/07/2020 10:04,14/07/2020 11:53,0,100,6536,1,14/07/2020 11:53,R_27U5Hi0rHr9Qa0d,anonymous,EN,1,2,24,1,1,2,1,1,6,70,10,7,1,5,1,1,1,2,1,5,2,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,2,1
15/07/2020 00:44,15/07/2020 00:58,0,100,824,1,15/07/2020 00:58,R_3e4XIOmtcFyO6uJ,anonymous,EN,1,2,26,1,1,1,1,0,5,50,0,5,4,3,1,1,1,3,3,5,4,4,2,5,1,1,1,1,1,1,1,3,7,2,3,2,1,5,1
15/07/2020 04:51,15/07/2020 05:26,0,100,2090,1,15/07/2020 05:26,R_1l0pPBWJnvU5nl5,anonymous,EN,1,2,30,1,1,1,1,1,5,32,2,5,5,3,5,3,1,3,2,3,2,1,1,7,1,1,2,1,1,1,1,1,7,2,2,2,2,2,1
15/07/2020 07:28,15/07/2020 07:37,0,100,590,1,15/07/2020 07:37,R_3e83rxIUBxJOSUs,anonymous,EN,1,2,35,1,1,2,1,0,5,25,0,6,1,5,1,1,1,1,1,5,1,2,1,7,1,1,1,1,1,1,1,1,6,4,1,1,1,1,1
15/07/2020 12:49,15/07/2020 12:56,0,100,430,1,15/07/2020 12:56,R_246Is7IDnidh5WW,anonymous,EN,1,2,23,1,1,2,1,1,6,80,4,6,1,4,1,1,1,1,1,1,4,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1
15/07/2020 13:30,15/07/2020 13:43,0,100,835,1,15/07/2020 13:43,R_9AZckg8EFBZTs9r,anonymous,EN,1,2,31,1,2,2,1,1,7,70,2,6,2,4,2,1,1,1,2,3,1,2,1,7,1,2,2,1,1,1,1,3,7,2,1,1,1,2,1
